,instance,worst_makespan_before_vns,worst_makespan_after_vns,improvement
0,u_s_hilo,100582.849886,98366.58117799996,2.20342604182715
1,u_s_hilo,100582.849886,99051.502198,1.5224739503161944
2,u_s_hilo,100582.849886,99687.572982,0.8900890211548829
3,u_s_hilo,97275.725956,96751.048411,0.5393715028529367
4,u_s_hilo,97678.67883299998,97282.691003,0.4053984295559698
5,u_s_hilo,97319.310485,97296.223024,0.0237234120185947
6,u_s_hilo,100582.849886,98785.942628,1.786494675818584
7,u_s_hilo,98183.79384700002,97664.05033,0.5293577449348996
8,u_s_hilo,98581.04946900002,98056.673806,0.5319233928067768
9,u_s_hilo,101112.04071099998,98831.32212800004,2.2556350034698025
10,u_s_hilo,100582.849886,98668.579525,1.9031776919918308
11,u_s_hilo,101634.844849,97917.60297300004,3.657448271331276
12,u_s_hilo,97118.86963,96800.726486,0.3275811850076637
13,u_s_hilo,96907.198517,96863.66149999996,0.0449265046005842
14,u_s_hihi,4241640.794921,4184160.105469,1.3551522213014255
15,u_s_hihi,4198095.749023,4178192.157227,0.4741100009601151
16,u_s_hihi,4171703.641112,4165819.647202,0.1410453478050133
17,u_s_hihi,4163399.0,4163399.0,0.0
18,u_s_hihi,4241640.794921,4186385.755859,1.302680772218212
19,u_s_hihi,4200417.375,4200417.375,0.0
20,u_s_hihi,4178192.157227,4178047.497393,0.0034622589999977
21,u_s_hihi,4209059.25,4178192.157227,0.7333489727663012
22,u_s_hihi,4241640.794921,4226849.453612,0.3487174427101669
23,u_s_hihi,4174353.066728,4172496.004136,0.044487434635132
24,u_s_hihi,4197323.915038,4196788.982173,0.0127446171853229
25,u_s_hihi,4539134.96875,4418326.2708910005,2.6614916430270474
26,u_s_lohi,127338.090244,126122.963378,0.9542524657560114
27,u_s_lohi,126298.426026,125631.89790300003,0.5277406409346375
28,u_s_lohi,124852.216798,124448.164249,0.3236246494956019
29,u_s_lohi,128747.998535,126225.199339,1.9594861471296297
30,u_s_lohi,133789.27002000005,131169.103045,1.958428336299578
31,u_s_lohi,125141.43307600002,124911.313144,0.1838878829685919
32,u_s_lohi,124852.216798,124444.262851,0.3267494622542721
33,u_s_lohi,125597.461671,125597.461671,0.0
34,u_s_lohi,127610.22172900004,126102.13200700004,1.1817938262051242
35,u_s_lohi,124852.216798,124444.262851,0.3267494622542721
36,u_s_lohi,125469.771807,124931.192509,0.4292502411086363
37,u_s_lohi,126902.67824299996,126724.09183499998,0.1407270598797083
38,u_s_lolo,3528.898873,3480.747543,1.3644859695020273
39,u_s_lolo,3493.4505160000003,3480.1079700000005,0.3819302989663375
40,u_s_lolo,3493.4505160000003,3475.1251049999983,0.5245647796089159
41,u_s_lolo,3498.231509,3479.9318120000003,0.5231128057968659
42,u_s_lolo,3528.898873,3480.747543,1.3644859695020273
43,u_s_lolo,3493.4505160000003,3482.502006,0.3134010328715408
44,u_s_lolo,3456.046281,3452.801168,0.0938966881850023
45,u_s_lolo,3493.4505160000003,3477.550125,0.4551485967004942
46,u_s_lolo,3528.898873,3469.934968,1.6708867871261357
47,u_s_lolo,3493.4505160000003,3476.2353539999986,0.492783908664407
48,u_s_lolo,3492.983351999999,3464.3669520000003,0.8192538330769161
49,u_s_lolo,3602.619347999999,3502.425669999999,2.781134178264555
50,u_i_hilo,74381.23025699999,74285.44915699998,0.1287705240543446
51,u_i_hilo,74256.922303,73984.80215599999,0.3664576157487942
52,u_i_hilo,73942.48708800001,73942.48708800001,0.0
53,u_i_hilo,73897.14608899999,73880.36921699998,0.0227030039560593
54,u_i_hilo,74381.23025699999,74291.32043900002,0.1208770246059587
55,u_i_hilo,74079.63143600001,74003.56281599999,0.1026849331259627
56,u_i_hilo,73950.25409,73950.25409,0.0
57,u_i_hilo,74079.63143600001,73957.11596799998,0.1653834740064419
